step,time_s,sensor_position,sensor_velocity,u_from_encrypted_controller,u_plain_validation,control_error,next_position,next_velocity,state_change_norm,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
87,4.350000,0.000000611133,-0.000002193856,0.000006947278,0.000007647391,7.001128437442e-07,0.000000509984,-0.000001851831,3.566680915099e-07,6.398595,2.989921,1.124576,331137,235117
88,4.400000,0.000000509984,-0.000001851831,0.000005899285,0.000006560855,6.615697824546e-07,0.000000424662,-0.000001560817,3.032636917142e-07,4.004082,2.990133,1.131769,331192,235106
89,4.450000,0.000000424662,-0.000001560817,0.000004897770,0.000005623023,7.252526716032e-07,0.000000352670,-0.000001318698,2.525957344584e-07,3.966252,2.941262,1.131288,331498,235063
90,4.500000,0.000000352670,-0.000001318698,0.000004201085,0.000004860878,6.597928379921e-07,0.000000291938,-0.000001110422,2.169502396370e-07,4.024540,3.744519,1.155934,331700,235139
91,4.550000,0.000000291938,-0.000001110422,0.000003522961,0.000004183697,6.607362175257e-07,0.000000240793,-0.000000935264,1.824714618550e-07,3.984956,2.953293,1.210146,330970,234852
92,4.600000,0.000000240793,-0.000000935264,0.000002936502,0.000003615476,6.789736886125e-07,0.000000197690,-0.000000788751,1.527222859581e-07,3.974697,3.999964,1.907154,331600,235161
93,4.650000,0.000000197690,-0.000000788751,0.000002439496,0.000003145966,7.064697438212e-07,0.000000161307,-0.000000666483,1.275660756174e-07,10.505668,9.628554,3.281786,331372,235030
94,4.700000,0.000000161307,-0.000000666483,0.000002116694,0.000002761591,6.448967555349e-07,0.000000130646,-0.000000559872,1.109330240836e-07,15.561631,14.993593,1.945636,331585,235101
95,4.750000,0.000000130646,-0.000000559872,0.000001764029,0.000002407280,6.432514706461e-07,0.000000104885,-0.000000470529,9.298278743355e-08,7.033375,4.446137,1.825732,331604,235072
96,4.800000,0.000000104885,-0.000000470529,0.000001453418,0.000002111572,6.581543820402e-07,0.000000083210,-0.000000396395,7.723769999242e-08,7.786431,3.121758,1.290648,331367,235143
97,4.850000,0.000000083210,-0.000000396395,0.000001210124,0.000001871570,6.614464473115e-07,0.000000064946,-0.000000334138,6.488040280854e-08,4.082416,2.998679,1.132431,331242,235107
98,4.900000,0.000000064946,-0.000000334138,0.000001008698,0.000001671149,6.624514869872e-07,0.000000049549,-0.000000281707,5.464461560334e-08,3.982291,2.968312,1.788072,330772,234948
99,4.950000,0.000000049549,-0.000000281707,0.000000822172,0.000001502637,6.804655799972e-07,0.000000036545,-0.000000238384,4.523284128411e-08,4.007057,2.962291,1.159921,331531,235045
